synapse,GABA,GAD,gephyrin,GS594,MBP488,NR1,PSD,Synapsin,VGluT1,DAPI1st,location
209,0.255709717,1.365252111,0.330941996,0.684451045,0.085224881,0.523094742,2.086693163,1.259543031,0.590259444,4.566844263,on_synapse
210,1.514216502,1.950473804,0.87681104,0.777851909,0.134696874,0.175315338,0.161327607,1.019085266,0.465037847,4.977786068,on_synapse
211,0.891875191,1.228507933,0.707273493,0.526318105,0.090672508,0.122942174,0.105927329,0.632782369,0.348068437,3.476714111,on_synapse
212,0.134634859,0.508714672,0.164506173,0.170832058,0.041357387,0.156843052,0.153966432,0.574609734,0.206648556,2.069702709,on_synapse
213,0.311175518,1.254087593,0.371691026,0.508914269,0.104062086,0.253933272,0.997268774,1.309036705,0.764467274,4.594079686,on_synapse
214,0.199316396,1.203201346,0.296944614,0.493703165,0.072120617,0.272232709,0.420907305,0.731519034,0.415054019,3.047142298,on_synapse
215,0.385576443,1.922454767,0.500269955,0.517766753,0.10207646,0.291007012,1.108573813,0.92160593,0.858257802,3.470457946,on_synapse
216,0.018179834,0.127188694,0.053089112,0.0654936,0.009124636,0.049829099,0.061893486,0.070148738,0.051086766,0.517975065,on_synapse
217,0.206239159,0.845884986,0.314182226,0.397531502,0.068081701,0.095320631,1.506741659,0.972821013,1.032029257,4.09185351,on_synapse
218,0.100210154,0.40141383,0.138387948,0.192029725,0.037323289,0.08860703,0.210446922,0.325459987,0.173754946,1.167591317,on_synapse
219,0.311953712,2.294071467,0.404728401,0.51629298,0.111770057,0.376671456,1.54262391,1.565910933,0.879259769,3.717289336,on_synapse
220,0.465281763,1.202409193,0.391375083,0.531187028,0.08792231,0.365496027,0.693423343,2.124277816,0.420767014,3.776155654,on_synapse
221,0.221523314,1.080290277,0.274698373,0.384824253,0.075945057,0.441730436,0.62724722,0.654701051,0.482510076,2.370534894,on_synapse
222,0.179130673,0.495108209,0.199103833,0.200452193,0.007125123,0.127730022,0.18010067,0.208371595,0.118198682,1.373402941,on_synapse
223,0.142441619,0.670269615,0.255004273,0.26052906,0.195198513,0.529798458,1.048642199,0.353941881,0.412689075,3.387755395,on_synapse
224,0.083234947,0.61065744,0.299514809,0.239739567,0.059836278,0.193243765,0.388303125,0.597163008,0.25881652,3.176360466,on_synapse
225,1.537816158,2.826856111,1.384076379,0.974583383,0.132511875,0.560553451,0.961856912,2.1206973,0.821756754,6.004235059,on_synapse
226,1.182124374,1.447593216,0.794564917,0.533101072,0.060799797,0.124893111,0.065519614,0.820233864,0.322840397,3.085426576,on_synapse
227,0.001037841,0.26629298,0.065323373,0.062491232,0,0.02228089,0.076477368,0.147285672,0.060519972,0.92540302,on_synapse
228,0.287141193,1.584168707,0.416237289,0.454754475,0.11061017,0.167124386,0.470194368,1.121307066,0.472401484,3.854083767,on_synapse
229,0.243640317,0.594849378,0.18311078,0.226680313,0.043172891,0.145207122,0.489892613,0.504368814,0.224995536,2.479469569,on_synapse
